0.969500,0.141600,0.085000,0.114500,0.118900,0.083700,0.084700,0.133700,0.087400,0.104000
0.136000,0.968800,0.126500,0.108000,0.109000,0.097500,0.097400,0.106400,0.125600,0.103200
0.103100,0.135600,0.955600,0.129100,0.079000,0.146300,0.156600,0.094000,0.084700,0.121000
0.139400,0.101500,0.135700,0.949600,0.132200,0.079600,0.060600,0.065100,0.094000,0.114700
0.148100,0.134200,0.160200,0.149400,0.947900,0.079000,0.113100,0.102700,0.144700,0.160000
0.102400,0.075200,0.094600,0.131800,0.125100,0.941500,0.104200,0.123100,0.074700,0.099600
0.062100,0.094700,0.088000,0.083200,0.107400,0.170700,0.934200,0.112800,0.103600,0.106300
0.066200,0.093800,0.056500,0.096400,0.086100,0.075500,0.157700,0.926400,0.086300,0.093900
0.080300,0.125100,0.119000,0.141600,0.081900,0.083500,0.091700,0.175600,0.923000,0.084100
0.074400,0.106100,0.120800,0.065400,0.079900,0.075100,0.097600,0.144400,0.157200,0.916800
