0.973900,0.160600,0.081400,0.128800,0.098200,0.070700,0.064500,0.128300,0.067600,0.086500
0.953200,0.968800,0.091000,0.141300,0.101300,0.062500,0.076200,0.141200,0.070000,0.111100
0.924900,0.955200,0.969200,0.116000,0.094500,0.084000,0.093200,0.150400,0.089000,0.109300
0.836400,0.908100,0.955500,0.969600,0.107100,0.073400,0.084200,0.150700,0.094800,0.105200
0.839900,0.880800,0.944800,0.962100,0.969800,0.082000,0.070200,0.148500,0.112100,0.118900
0.764300,0.812100,0.916200,0.946500,0.960900,0.968600,0.096300,0.124100,0.100700,0.118600
0.690500,0.708800,0.864800,0.908200,0.945400,0.955800,0.967900,0.111000,0.094400,0.121800
0.605900,0.543700,0.812700,0.884000,0.919600,0.941300,0.961600,0.967000,0.080800,0.119900
0.527100,0.496900,0.713400,0.803800,0.889400,0.918700,0.953700,0.958200,0.967100,0.129700
0.414600,0.358900,0.645500,0.756000,0.840600,0.834800,0.936400,0.932700,0.954400,0.966700
