0.974400,0.120500,0.091200,0.107900,0.117300,0.077400,0.067700,0.104700,0.073200,0.066000
0.957400,0.968400,0.130100,0.133100,0.117400,0.059900,0.081300,0.126600,0.082900,0.075200
0.892900,0.958400,0.969000,0.121600,0.128700,0.101000,0.106400,0.120600,0.081900,0.082500
0.829600,0.896900,0.953900,0.970600,0.117500,0.088700,0.102900,0.135800,0.085100,0.073500
0.864300,0.880700,0.946400,0.960300,0.968500,0.090800,0.094600,0.123800,0.097700,0.096900
0.806700,0.843700,0.915200,0.945500,0.958200,0.967500,0.114200,0.128400,0.095400,0.098900
0.735100,0.727100,0.866100,0.910400,0.936200,0.957000,0.969000,0.111000,0.088100,0.108800
0.643100,0.566800,0.814400,0.908800,0.901000,0.940500,0.961300,0.968900,0.084500,0.111400
0.534300,0.445200,0.789100,0.799200,0.877400,0.914500,0.949500,0.954600,0.965200,0.111700
0.532900,0.372400,0.735100,0.794000,0.796300,0.852200,0.938700,0.943700,0.951000,0.966100
